shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
60922,33.703666,-117.772529,791
60922,33.703087,-117.772674,792
60922,33.703058,-117.772681,793
60922,33.702782,-117.772761,794
60922,33.702643,-117.77281,795
60922,33.702452,-117.772892,796
60922,33.702303,-117.772971,797
60922,33.702181,-117.773052,798
60922,33.702073,-117.773131,799
60922,33.701912,-117.773266,800
60922,33.70178,-117.773291,801
60922,33.701665,-117.773407,802
60922,33.701513,-117.773596,803
60922,33.701435,-117.773692,804
60922,33.701331,-117.773839,805
60922,33.70125,-117.773976,806
60922,33.701131,-117.774192,807
60922,33.700732,-117.774944,808
60922,33.700344,-117.775673,809
60922,33.7003,-117.775824,810
60922,33.700034,-117.776306,811
60922,33.699816,-117.776636,812
60922,33.69965,-117.776857,813
60922,33.6995,-117.77704,814
60922,33.699044,-117.777505,815
60922,33.698694,-117.777855,816
60922,33.69866,-117.77789,817
60922,33.698598,-117.777951,818
60922,33.698306,-117.778243,819
60922,33.698221,-117.77833,820
60922,33.698154,-117.778396,821
60922,33.697891,-117.778656,822
60922,33.697459,-117.779091,823
60922,33.696762,-117.779775,824
60922,33.696139,-117.780416,825
60922,33.695863,-117.780636,826
60922,33.695789,-117.780686,827
60922,33.695591,-117.780817,828
60922,33.695449,-117.780915,829
60922,33.695371,-117.780962,830
60922,33.695228,-117.781031,831
60922,33.694858,-117.78121,832
60922,33.694521,-117.781335,833
60922,33.69439,-117.781371,834
60922,33.694132,-117.781441,835
60922,33.694039,-117.781466,836
60922,33.69396,-117.781489,837
60922,33.693593,-117.781596,838
60922,33.69348,-117.781597,839
60922,33.693444,-117.781597,840
60922,33.693219,-117.781662,841
60922,33.692828,-117.781863,842
60922,33.692549,-117.78204,843
60922,33.692046,-117.78249,844
60922,33.69161,-117.782914,845
60922,33.691453,-117.783071,846
60922,33.691054,-117.783462,847
60922,33.690851,-117.78366,848
60922,33.690646,-117.783858,849
60922,33.689941,-117.784552,850
60922,33.689653,-117.784837,851
60922,33.689498,-117.78499,852
60922,33.689175,-117.78533,853
60922,33.689092,-117.785421,854
60922,33.68904,-117.785514,855
60922,33.68901,-117.78557,856
60922,33.688997,-117.785593,857
60922,33.688884,-117.785705,858
60922,33.68745,-117.787128,859
60922,33.687404,-117.787173,860
60922,33.687012,-117.787564,861
60922,33.686926,-117.787651,862
